['S11', 1]
['S11680', -0.1064006944734438]
['S12287', -0.10727643512409483]
['S11915', -0.10867524076585952]
['S154', -0.10943513103291655]
['S1259', -0.10943513103291655]
['S1513', -0.10943513103291655]
['S1617', -0.10943513103291655]
['S11955', -0.10943513103291655]
['S1178', -0.10955941855852905]
['S1113', -0.11116753153597013]
['S1230', -0.11136127556850214]
['S1960', -0.11136127556850214]
['S160', -0.11330943397043135]
['S11924', -0.11451810427868957]
['S1890', -0.11451810427868961]
['S11228', -0.11451810427868961]
['S11935', -0.11608499953565998]
['S12221', -0.11655612099464087]
['S1815', -0.11679669115975959]
['S1732', -0.11951036305242928]
['S12017', -0.1228609391924117]
['S11765', -0.12286093919241185]
['S128', -0.12574627528679722]
['S1282', -0.12574627528679722]
['S1820', -0.12574627528679722]
['S1988', -0.12574627528679722]
['S11044', -0.12574627528679722]
['S11165', -0.12574627528679722]
['S11166', -0.12574627528679722]
['S11167', -0.12574627528679722]
['S11168', -0.12574627528679722]
['S11255', -0.12574627528679722]
['S11323', -0.12574627528679722]
['S11416', -0.12574627528679722]
['S11469', -0.12574627528679722]
['S11589', -0.12574627528679722]
['S11590', -0.12574627528679722]
['S11677', -0.12574627528679722]
['S11725', -0.12574627528679722]
['S11731', -0.12574627528679722]
['S11982', -0.12574627528679722]
['S12022', -0.12574627528679722]
['S12151', -0.12574627528679722]
['S12197', -0.12574627528679722]
['S12248', -0.12574627528679722]
['S12308', -0.12574627528679722]
['S1817', -0.12574627528679724]
['S11592', -0.12574627528679724]
['S11673', -0.12574627528679724]
['S11737', -0.12574627528679724]
['S11806', -0.12574627528679724]
['S11801', -0.1259649266000533]
['S1525', -0.12720372373652805]
['S1805', -0.12752999948988]
['S11893', -0.12867384975274257]
['S1185', -0.12995421810158841]
['S11972', -0.12995421810158841]
['S12267', -0.12995421810158841]
['S11091', -0.1340459798509748]
['S11918', -0.1340459798509748]
['S1870', -0.1352676010415752]
['S1106', -0.13570499945718]
['S1582', -0.13664495406536928]
['S11090', -0.1390970160156102]
['S11566', -0.13917239093618575]
['S11953', -0.13989046949647868]
['S11894', -0.1403721529270149]
['S11821', -0.14086400393984463]
['S11338', -0.1409437692183072]
['S12114', -0.14221846551618922]
['S1879', -0.1423577133943723]
['S11595', -0.14274422873444892]
['S11256', -0.1433819574288548]
['S11150', -0.14376383036826643]
['S1919', -0.14378744322715112]
['S12277', -0.1442152092822833]
['S11040', -0.1443859012296549]
['S1331', -0.14485521713813326]
['S1553', -0.1451992917728503]
['S1823', -0.1451992917728503]
['S1862', -0.1451992917728503]
['S11892', -0.14519929177285035]
['S11334', -0.1451992917728504]
['S1740', -0.14546341075742966]
['S11694', -0.14610396901001374]
['S1535', -0.14981739752869858]
['S1551', -0.15005820560655883]
['S11191', -0.1504064915564027]
['S15', -0.15476464650682734]
['S141', -0.15476464650682734]
['S1133', -0.15476464650682734]
['S1145', -0.15476464650682734]
['S1156', -0.15476464650682734]
['S1177', -0.15476464650682734]
['S1258', -0.15476464650682734]
['S1436', -0.15476464650682734]
['S1812', -0.15476464650682734]
['S1949', -0.15476464650682734]
['S11073', -0.15476464650682734]
['S11075', -0.15476464650682734]
['S11185', -0.15476464650682734]
['S11208', -0.15476464650682734]
['S11346', -0.15476464650682734]
['S11348', -0.15476464650682734]
['S11398', -0.15476464650682734]
['S11768', -0.15476464650682734]
['S12049', -0.15476464650682734]
['S12088', -0.15476464650682734]
['S12143', -0.15476464650682734]
['S184', -0.1547646465068274]
['S11687', -0.1547646465068274]
['S1536', -0.15703895318716654]
['S1628', -0.1601388888228535]
['S11888', -0.1619530562081793]
['S11375', -0.16381458558988243]
['S1507', -0.16421473037664433]
['S11952', -0.16451870078647224]
['S1750', -0.16740404658744232]
['S12279', -0.16799537677031937]
['S12041', -0.16910415919661437]
['S1269', -0.1692738321168424]
['S12250', -0.17213242183255933]
['S1768', -0.17352913445949125]
['S11740', -0.17519440096491487]
['S1484', -0.1751944009649149]
['S11288', -0.1751944009649149]
['S11729', -0.17672193458636645]
['S1449', -0.17870682064350804]
['S12095', -0.17870682064350812]
['S11527', -0.1791425853008253]
['S1649', -0.18015299639764207]
['S1141', -0.18378301772685748]
['S11432', -0.18378301772685748]
['S11482', -0.18378301772685748]
['S12042', -0.18378301772685748]
['S12317', -0.18378301772685748]
['S12198', -0.1837830177268575]
['S1726', -0.1864454039680174]
['S12141', -0.189547207081969]
['S1476', -0.19349610722951008]
['S11598', -0.19538420946202406]
['S12263', -0.19546058507883693]
['S12040', -0.19546058507883696]
['S11617', -0.19546058507883698]
['S11299', -0.19587400573520336]
['S12290', -0.2005237119477942]
['S11950', -0.20398739478924327]
['S11896', -0.2096040824689716]
['S1172', -0.21221434951416582]
['S181', -0.21458218475444046]
['S1980', -0.21470438220830038]
['S12039', -0.21478532196343886]
['S11451', -0.22227783319472172]
['S174', -0.22295871340274317]
['S11497', -0.22706175848360874]
['S1244', -0.22903620855737922]
['S1801', -0.22903620855737922]
['S11148', -0.23035250860655956]
['S1457', -0.24224498907209388]
['S12038', -0.2466561553702561]
['S1122', -0.25130646652993327]
['S11543', -0.2515939929510604]
['S11405', -0.25990843620317683]
['S1267', -0.26457630988524844]
['S159', -0.26806023096526216]
['S11951', -0.284813995400591]
['S11974', -0.30952929301365467]
['S12142', -0.30952929301365467]
['S1509', -0.32993454747802653]
